Realistic,Investigative,Artistic,Social,Enterprising,Conventional,CGPA,Programming,Mathematics,ProblemSolving,Communication,Leadership,Creativity,Technical,DataAnalysis,PublicSpeaking,Research,Career
5.1,5.8,4.4,6.9,8.1,5.9,4.28,2.9,2.1,3.9,5.0,4.6,4.8,3.0,3.1,4.6,2.1,Marketing/Sales Executive
4.9,6.4,10.0,3.3,8.8,3.9,3.46,3.1,4.0,4.7,3.9,1.9,4.7,2.3,3.7,2.7,3.2,Graphic Designer/UI-UX
3.1,5.0,4.1,6.9,7.8,4.2,3.14,2.3,3.4,4.4,4.1,5.0,3.8,1.7,3.3,4.4,3.5,Marketing/Sales Executive
5.3,4.9,6.5,9.6,8.3,5.6,2.65,1.0,2.4,4.8,5.0,3.5,3.5,1.0,3.7,4.6,3.8,Teacher/Lecturer
9.6,9.4,4.4,5.8,3.8,1.8,3.2,3.6,3.8,4.5,4.5,3.1,3.3,4.8,2.0,2.7,4.2,Software Developer
2.9,3.9,4.8,7.1,9.8,2.1,2.92,3.3,3.1,5.0,4.8,4.5,4.2,2.9,2.5,4.9,4.0,Entrepreneur
3.8,4.9,6.5,8.2,9.5,5.0,3.09,1.8,2.4,5.0,4.2,4.7,4.6,1.8,3.3,5.0,2.9,Marketing/Sales Executive
4.7,5.8,3.0,3.5,6.8,8.0,3.87,2.8,4.2,3.7,4.4,3.4,3.1,1.1,4.7,4.4,4.3,Banker/Financial Analyst
2.8,3.6,9.2,3.5,3.8,4.0,2.93,1.0,3.1,4.7,4.7,2.1,4.9,3.1,1.5,2.6,1.0,Graphic Designer/UI-UX
4.0,5.2,4.9,4.9,4.4,8.0,4.64,3.6,4.9,4.0,4.9,2.2,3.2,2.6,4.4,3.9,3.2,Accountant/Auditor
2.5,8.7,7.5,9.6,5.7,7.5,2.01,1.6,2.9,3.4,5.0,4.5,2.4,3.0,3.4,3.2,4.4,Human Resources Manager
3.8,1.2,8.9,4.5,4.4,4.1,3.3,2.5,2.5,3.6,3.1,5.0,4.7,3.7,5.0,2.9,3.7,Graphic Designer/UI-UX
3.6,4.7,6.5,8.1,6.3,5.1,3.01,2.8,2.7,4.6,4.7,3.9,1.9,1.0,2.1,4.9,4.4,Human Resources Manager
7.0,7.5,3.9,5.8,6.1,3.1,4.33,3.4,3.5,4.4,4.2,2.4,4.7,4.1,2.8,2.1,4.7,Civil/Mechanical Engineer
9.8,9.1,3.8,4.5,1.0,5.6,4.26,3.1,4.3,4.3,4.5,2.7,3.8,4.3,3.4,2.0,4.0,Medical Lab Scientist
2.5,4.6,6.2,8.6,2.8,6.4,4.17,1.0,3.3,5.0,4.0,5.0,3.2,2.4,1.6,3.8,3.5,Teacher/Lecturer
6.1,8.8,1.3,4.2,3.0,6.2,3.76,1.9,4.5,4.0,3.2,1.8,3.7,4.2,3.2,3.2,4.1,Medical Lab Scientist
4.5,7.0,7.5,5.9,3.6,3.5,3.17,1.6,1.6,3.9,5.0,3.5,4.3,3.9,2.8,2.7,2.9,Graphic Designer/UI-UX
5.6,8.7,6.0,1.0,4.5,5.8,3.56,5.0,4.3,5.0,2.8,3.7,5.0,5.0,2.9,2.2,3.2,Software Developer
4.5,4.8,1.0,5.2,6.1,9.1,3.79,3.5,4.5,4.7,3.3,2.6,3.7,4.2,4.8,2.4,2.4,Accountant/Auditor
5.8,8.2,3.6,6.1,4.9,7.6,4.05,3.4,5.0,4.9,5.0,2.0,3.9,2.8,4.8,4.0,3.1,Data Scientist
4.2,4.1,9.6,5.5,4.1,2.7,2.84,2.6,2.5,4.3,3.3,1.6,4.9,4.2,4.5,3.7,2.6,Graphic Designer/UI-UX
1.0,5.5,7.1,6.6,7.8,4.8,3.91,1.0,3.9,2.4,4.2,4.4,4.8,3.8,4.0,5.0,3.4,Marketing/Sales Executive
6.4,7.1,4.9,6.6,6.7,5.4,4.18,4.3,2.8,4.0,4.4,2.5,3.3,4.0,5.0,4.1,5.0,Software Developer
4.5,3.2,4.9,6.5,9.7,7.2,4.49,1.2,2.9,3.5,4.6,4.9,4.2,3.6,2.5,5.0,2.8,Marketing/Sales Executive
3.6,4.4,9.0,7.1,6.6,3.5,2.92,1.0,1.8,3.2,4.0,4.7,4.7,2.2,2.6,2.9,4.4,Graphic Designer/UI-UX
7.3,8.3,4.0,6.9,6.6,5.4,3.7,1.4,3.9,3.9,3.7,4.0,1.0,4.7,3.7,3.5,4.1,Medical Lab Scientist
3.4,4.3,2.2,5.7,7.0,8.0,4.77,1.4,5.0,5.0,3.9,2.5,1.8,2.8,5.0,2.1,1.6,Accountant/Auditor
3.5,5.8,6.6,6.9,8.8,5.1,3.17,1.2,1.6,3.9,4.5,4.6,4.2,2.3,4.0,3.9,4.8,Marketing/Sales Executive
4.8,6.0,9.2,6.3,4.7,2.2,2.73,1.2,2.0,1.4,4.6,3.6,4.5,2.3,4.3,4.2,3.1,Graphic Designer/UI-UX
3.6,6.3,6.5,4.0,10.0,2.1,3.77,1.0,4.2,3.6,4.9,3.1,4.6,2.7,3.6,5.0,3.4,Marketing/Sales Executive
5.2,10.0,3.2,4.9,7.9,7.7,3.55,3.9,3.1,4.9,3.7,2.5,2.3,3.8,4.7,2.9,4.2,Cybersecurity Analyst
5.4,2.3,4.8,7.9,8.9,6.5,3.87,1.9,4.8,3.2,4.8,5.0,4.6,1.9,1.0,4.1,4.8,Human Resources Manager
8.6,6.2,5.5,1.1,5.1,6.3,3.65,4.1,3.6,4.0,3.0,4.1,3.7,5.0,2.8,1.6,5.0,Civil/Mechanical Engineer
2.9,1.3,5.0,9.1,8.5,6.1,2.95,2.0,2.7,4.4,4.6,4.9,3.1,3.5,3.2,3.9,2.9,Human Resources Manager
10.0,7.5,3.8,4.4,4.6,6.1,3.91,5.0,4.4,5.0,2.3,3.3,3.3,4.7,5.0,2.6,3.7,Cybersecurity Analyst
4.1,3.8,6.8,7.6,8.5,2.4,2.67,3.2,1.1,4.9,4.0,3.8,4.0,4.1,3.0,4.5,2.4,Marketing/Sales Executive
6.7,7.2,3.9,4.5,1.6,6.3,3.69,4.8,4.2,5.0,3.1,2.4,3.6,4.6,3.8,2.5,2.9,Software Developer
9.2,8.8,3.8,5.2,6.7,8.1,3.15,3.4,3.8,3.8,3.6,3.6,4.5,4.6,3.4,3.2,2.7,Civil/Mechanical Engineer
6.4,8.2,4.5,7.0,6.1,7.6,3.96,2.7,4.6,4.8,4.7,2.9,2.8,2.0,4.1,2.4,3.9,Banker/Financial Analyst
5.6,9.6,5.0,3.7,4.3,7.8,3.33,5.0,4.1,4.4,5.0,1.7,3.2,3.3,4.6,4.2,5.0,Software Developer
6.1,8.7,4.6,9.0,4.4,5.7,4.58,2.5,1.6,3.5,4.2,5.0,2.8,2.1,2.6,5.0,4.7,Teacher/Lecturer
5.7,10.0,6.2,2.6,1.6,4.9,3.59,4.7,3.6,4.8,4.7,3.6,3.5,4.1,3.5,3.7,2.9,Software Developer
5.5,9.4,3.6,3.8,5.4,7.1,3.1,4.3,3.7,4.2,4.6,3.2,2.4,4.8,5.0,3.5,2.1,Software Developer
5.3,9.1,3.9,4.4,6.3,10.0,4.91,2.3,4.8,3.9,3.7,4.9,1.7,1.0,4.7,4.3,3.5,Accountant/Auditor
4.3,6.4,5.7,4.1,7.6,5.7,3.19,3.0,2.9,3.2,4.8,4.9,5.0,2.2,3.1,5.0,2.5,Marketing/Sales Executive
3.6,8.1,5.4,2.6,7.6,4.4,3.68,4.8,3.6,3.6,2.6,3.8,3.2,3.6,4.5,2.2,3.0,Software Developer
9.1,8.2,2.7,4.2,3.6,3.4,3.91,4.2,4.2,4.3,2.3,3.5,4.2,5.0,4.0,2.4,2.9,Civil/Mechanical Engineer
5.5,4.0,8.4,6.2,5.2,1.7,2.82,3.9,2.9,4.5,3.5,1.9,4.6,2.8,2.8,2.2,4.3,Graphic Designer/UI-UX
5.3,8.2,6.5,2.2,4.9,7.9,2.9,4.6,4.2,4.9,1.9,1.5,4.0,4.4,4.0,2.8,2.9,Software Developer
9.4,7.9,4.2,3.0,5.5,8.1,3.25,4.9,5.0,5.0,3.6,4.6,2.6,4.4,4.2,3.3,3.4,Civil/Mechanical Engineer
3.6,7.1,1.1,9.1,6.5,5.7,3.17,1.0,2.7,2.8,5.0,4.2,4.7,2.2,2.2,4.1,3.7,Teacher/Lecturer
8.4,8.8,3.4,4.8,6.3,7.1,3.28,3.9,4.6,3.8,1.3,4.5,3.7,4.8,3.2,3.5,4.2,Cybersecurity Analyst
5.1,7.1,5.5,4.8,8.8,4.6,2.61,4.5,2.7,4.7,3.8,4.9,4.4,3.0,3.5,4.5,3.1,Entrepreneur
2.1,7.0,4.0,3.3,6.5,7.7,5.0,3.8,4.8,4.1,3.4,2.0,2.4,2.2,4.1,1.9,3.5,Accountant/Auditor
5.4,7.5,3.1,4.6,5.5,5.2,3.12,4.2,3.7,5.0,3.2,4.8,2.1,3.7,3.2,4.0,5.0,Cybersecurity Analyst
4.1,8.3,2.0,4.3,3.2,5.8,3.79,3.8,4.0,4.8,2.2,2.9,1.0,4.6,3.8,1.8,4.2,Cybersecurity Analyst
6.9,9.3,5.0,2.1,7.2,4.4,4.16,2.8,4.3,5.0,3.0,2.7,3.7,4.3,5.0,3.0,3.8,Cybersecurity Analyst
4.4,6.3,5.4,6.7,8.7,5.0,3.87,2.4,3.3,4.7,4.4,3.8,4.0,1.1,3.1,4.5,3.4,Entrepreneur
6.1,8.6,2.6,6.1,6.2,6.3,3.97,4.2,2.8,4.9,4.4,3.8,4.0,4.6,3.6,4.1,5.0,Medical Lab Scientist
3.9,6.6,5.2,9.1,5.6,6.0,3.74,1.1,2.0,3.4,5.0,5.0,3.9,2.9,4.1,5.0,3.4,Teacher/Lecturer
4.8,8.2,3.3,2.3,3.4,9.1,3.73,4.3,4.5,5.0,4.7,3.9,3.5,3.6,4.4,4.9,3.8,Data Scientist
5.4,10.0,5.3,3.7,2.4,7.6,4.43,3.8,4.8,4.4,3.3,1.0,3.0,4.6,4.6,3.1,3.8,Data Scientist
3.7,7.3,6.4,6.0,8.7,9.7,3.95,1.9,3.4,4.4,4.0,4.8,2.4,2.8,3.9,3.5,3.0,Banker/Financial Analyst
6.6,6.5,6.2,1.6,9.8,6.3,4.75,1.9,1.4,4.1,4.7,4.4,5.0,2.3,3.2,4.0,5.0,Entrepreneur
5.2,2.3,8.6,4.2,8.1,5.0,4.13,3.1,1.9,3.2,3.1,4.5,4.0,3.5,2.7,4.9,3.9,Entrepreneur
4.2,5.6,7.4,7.8,6.0,6.5,4.15,2.5,3.0,5.0,4.1,4.4,3.5,2.8,3.3,4.0,3.1,Teacher/Lecturer
5.1,9.4,4.3,4.6,4.6,8.0,3.48,3.9,4.8,4.9,4.8,2.6,4.5,3.3,5.0,3.8,3.8,Data Scientist
6.4,9.4,3.9,6.5,6.2,7.9,3.14,3.3,4.4,4.3,3.7,4.5,1.0,2.6,4.4,2.2,4.1,Banker/Financial Analyst
7.8,9.3,5.8,4.8,6.4,4.1,3.8,3.9,5.0,5.0,2.6,3.4,3.4,4.7,3.3,3.2,3.8,Cybersecurity Analyst
8.4,8.9,4.6,4.0,3.8,6.5,3.2,3.5,4.7,4.2,3.6,3.7,3.5,4.7,3.6,3.1,3.6,Civil/Mechanical Engineer
5.5,9.5,4.4,3.4,2.8,6.3,4.73,4.0,4.0,5.0,2.9,3.3,2.5,4.5,3.7,3.5,4.6,Software Developer
6.6,8.1,4.8,3.9,1.4,8.2,3.72,4.7,4.7,4.0,3.4,2.5,4.3,2.7,3.7,1.9,3.9,Software Developer
7.1,8.9,5.7,5.3,3.9,7.4,3.34,3.8,3.1,3.0,3.5,4.5,3.3,4.9,4.0,2.8,3.7,Medical Lab Scientist
2.7,4.5,5.9,6.5,6.1,5.3,4.02,1.0,2.5,4.4,4.6,5.0,3.2,4.1,5.0,4.6,3.6,Human Resources Manager
7.4,9.8,4.1,4.9,4.9,7.9,4.05,2.9,3.7,4.2,3.6,2.3,2.3,5.0,5.0,4.6,3.8,Medical Lab Scientist
6.1,8.8,6.8,9.0,6.4,6.6,3.14,1.3,3.9,3.3,4.0,4.8,3.6,2.4,1.8,4.3,3.8,Teacher/Lecturer
5.1,8.1,4.5,5.5,6.2,3.3,3.73,4.1,3.1,4.4,2.7,5.0,3.9,3.2,3.3,3.5,5.0,Software Developer
8.3,8.5,5.3,2.8,4.5,5.0,4.31,3.2,4.8,4.1,3.6,4.7,3.2,4.7,2.3,2.2,3.2,Civil/Mechanical Engineer
3.4,7.3,3.7,5.1,8.2,9.1,3.74,2.4,4.4,4.2,4.8,2.6,1.9,4.2,4.2,3.4,2.8,Accountant/Auditor
4.0,8.3,3.7,9.4,5.6,6.3,3.35,1.9,2.1,4.4,5.0,4.0,1.4,3.9,3.1,3.2,2.8,Teacher/Lecturer
3.1,7.9,7.1,8.4,4.3,4.9,3.27,3.3,3.5,3.2,4.5,3.5,5.0,2.3,3.7,4.7,3.9,Teacher/Lecturer
8.4,9.3,3.7,6.7,5.4,6.7,3.54,2.6,4.2,4.6,4.2,1.8,2.3,3.6,4.5,2.8,4.7,Medical Lab Scientist
7.6,9.8,5.4,5.4,6.6,5.8,2.94,1.0,2.9,4.7,3.0,3.4,4.3,3.9,4.3,3.5,4.1,Medical Lab Scientist
4.1,3.6,5.3,7.8,6.7,5.2,2.94,2.4,3.8,4.6,4.7,5.0,2.7,3.5,3.9,4.3,3.4,Human Resources Manager
7.8,7.5,6.1,3.1,2.9,5.9,3.67,4.0,4.1,4.2,3.2,3.6,3.1,4.5,1.8,2.4,4.1,Civil/Mechanical Engineer
3.6,5.9,6.0,7.7,3.9,6.7,2.91,2.1,2.1,4.5,4.7,2.6,2.7,2.5,1.0,3.9,3.4,Teacher/Lecturer
4.4,2.0,5.0,7.8,5.0,4.1,3.8,1.3,1.3,3.3,4.7,4.0,2.2,1.3,3.9,3.1,3.0,Human Resources Manager
7.7,9.7,1.0,4.7,3.4,6.1,3.81,3.6,4.3,4.8,3.5,1.7,1.0,3.7,4.3,3.0,4.4,Medical Lab Scientist
3.8,4.6,5.8,5.2,3.6,8.5,3.98,2.4,3.6,4.1,3.9,3.0,1.8,2.9,5.0,4.2,2.4,Banker/Financial Analyst
7.0,9.4,1.5,7.8,4.1,6.3,2.77,4.4,2.9,4.6,2.7,1.9,2.5,4.6,3.1,2.1,4.5,Cybersecurity Analyst
2.8,7.7,6.0,3.7,5.2,4.4,3.74,4.4,4.8,4.6,3.3,2.4,3.1,3.9,4.1,2.1,3.8,Software Developer
8.3,7.4,4.0,5.1,6.8,7.9,4.08,5.0,4.1,3.9,4.6,3.6,2.3,4.6,3.7,2.4,2.6,Civil/Mechanical Engineer
4.4,4.2,4.1,8.8,7.8,4.1,3.21,1.6,2.5,3.3,3.9,4.2,3.1,1.7,3.6,3.5,3.5,Human Resources Manager
7.0,8.4,3.8,2.8,5.5,5.3,3.78,2.8,5.0,3.6,3.1,4.2,3.2,4.8,3.3,2.6,4.4,Medical Lab Scientist
5.8,5.3,8.7,6.3,3.7,4.7,3.48,5.0,2.1,4.0,3.9,2.5,5.0,2.6,1.3,3.5,2.6,Graphic Designer/UI-UX
8.9,9.1,7.5,2.0,2.0,5.2,3.95,5.0,4.5,4.4,2.1,4.0,2.6,5.0,3.6,4.1,4.1,Software Developer
9.2,8.6,2.7,6.9,2.1,8.2,4.4,3.6,3.7,3.9,3.6,2.9,2.2,4.2,3.7,1.8,4.8,Medical Lab Scientist
8.4,6.9,3.4,3.1,6.1,4.7,3.65,3.5,4.2,4.4,2.7,2.8,5.0,4.3,3.3,3.4,3.9,Cybersecurity Analyst
4.9,5.9,7.1,7.4,8.2,4.9,3.46,2.9,4.1,4.8,4.4,5.0,4.9,3.9,2.8,4.7,4.4,Entrepreneur
4.8,5.0,4.2,4.9,8.0,5.9,3.53,2.8,2.8,4.0,3.9,4.9,3.5,3.1,2.7,5.0,3.8,Entrepreneur
5.2,7.5,2.5,8.9,4.3,7.6,3.28,3.2,4.3,3.5,5.0,3.5,4.6,5.0,3.9,4.8,3.7,Teacher/Lecturer
3.7,5.7,4.2,2.6,6.1,8.5,3.25,2.1,3.3,3.5,3.0,2.9,1.0,3.2,5.0,3.1,3.7,Accountant/Auditor
8.7,9.4,4.3,5.3,7.0,6.4,3.68,1.6,2.4,4.7,1.6,3.0,2.6,5.0,2.7,2.1,4.4,Medical Lab Scientist
4.7,6.9,3.4,3.3,5.9,8.1,3.75,3.5,3.9,2.9,3.8,2.5,2.5,3.3,3.4,3.8,2.2,Accountant/Auditor
8.1,8.6,5.3,7.8,7.6,5.7,2.97,3.7,3.0,4.7,2.1,2.9,4.0,4.4,3.3,4.0,2.7,Cybersecurity Analyst
9.5,9.0,6.0,5.3,5.0,4.6,3.42,5.0,4.9,4.2,1.0,2.8,2.9,4.4,4.4,3.7,4.7,Cybersecurity Analyst
5.8,6.1,7.6,5.2,4.6,5.2,4.08,4.0,4.4,4.5,4.8,2.2,4.8,4.1,3.1,2.5,2.5,Graphic Designer/UI-UX
3.9,5.2,5.1,7.8,7.5,8.8,3.09,2.6,3.0,3.3,5.0,4.9,3.8,3.9,4.8,4.3,3.1,Human Resources Manager
6.5,9.2,3.5,6.1,3.8,6.8,3.31,4.3,3.8,4.4,4.3,2.3,3.7,4.1,4.1,1.6,3.5,Cybersecurity Analyst
3.7,7.8,7.3,8.6,6.6,6.2,3.77,4.4,3.6,3.7,4.9,2.8,3.3,2.8,3.7,4.6,3.1,Teacher/Lecturer
5.4,5.7,1.5,6.2,10.0,4.9,3.01,3.0,4.9,4.5,4.5,4.4,3.7,3.0,3.3,2.8,2.6,Entrepreneur
7.7,8.7,6.0,3.8,5.8,6.8,4.08,3.9,5.0,4.2,2.8,5.0,4.1,1.9,4.6,1.2,3.7,Data Scientist
5.3,7.7,4.7,8.7,5.2,4.0,4.22,1.0,2.1,2.5,5.0,4.0,3.1,2.6,3.3,3.9,4.1,Teacher/Lecturer
6.1,8.4,3.2,7.2,7.3,7.8,3.07,1.9,5.0,3.6,2.5,3.0,1.0,2.1,4.2,3.3,4.2,Accountant/Auditor
3.6,8.1,6.8,6.1,5.8,6.3,3.89,4.2,3.9,5.0,2.2,4.4,3.2,5.0,2.7,3.1,2.8,Software Developer
4.8,7.5,4.4,4.0,6.1,7.9,4.48,2.6,4.6,3.0,4.3,3.9,1.0,3.1,3.7,3.2,4.6,Banker/Financial Analyst
6.4,6.6,9.6,6.1,9.1,5.5,4.19,5.0,3.0,3.6,5.0,3.9,4.5,3.3,3.2,4.2,1.8,Entrepreneur
3.5,5.5,6.4,7.2,9.4,5.3,3.21,2.5,2.9,3.6,4.9,4.3,4.0,2.5,3.2,4.0,3.5,Marketing/Sales Executive
6.5,10.0,5.0,4.4,2.4,5.1,4.0,3.7,4.1,4.6,3.0,3.8,3.8,5.0,3.0,2.6,3.6,Software Developer
6.7,8.6,6.4,3.8,4.2,7.7,3.67,4.9,4.3,4.1,2.7,3.8,2.6,2.7,4.6,3.0,3.6,Data Scientist
5.0,5.8,2.1,5.1,7.4,7.2,2.97,1.1,4.8,3.5,4.4,3.5,3.3,3.1,4.4,3.9,3.7,Banker/Financial Analyst
5.0,8.9,1.9,5.5,5.4,6.0,4.19,5.0,4.7,3.6,1.8,2.2,3.5,4.6,3.2,2.7,2.8,Software Developer
2.2,5.8,3.5,6.5,7.7,4.9,3.2,2.4,1.9,2.5,5.0,4.4,4.4,2.8,3.7,4.4,3.3,Human Resources Manager
3.1,1.3,8.9,3.0,5.2,4.6,2.13,3.2,3.3,2.5,4.6,4.9,4.7,4.2,1.8,4.1,3.8,Graphic Designer/UI-UX
7.7,8.6,3.9,2.2,4.2,8.4,4.62,4.9,4.0,5.0,1.8,3.9,2.9,4.4,4.4,4.2,3.4,Data Scientist
7.8,6.9,3.4,1.3,4.0,5.4,3.76,4.5,3.4,4.4,1.7,4.2,3.2,3.9,5.0,1.3,2.5,Software Developer
4.0,5.6,6.2,10.0,7.9,5.8,4.04,1.9,3.1,3.4,4.7,3.4,4.2,1.2,2.1,2.9,2.5,Human Resources Manager
5.3,6.9,4.4,9.3,3.2,3.8,4.01,1.0,2.5,3.0,4.6,4.3,4.0,1.9,2.8,4.9,3.6,Teacher/Lecturer
7.7,8.7,4.2,5.3,5.1,7.2,4.06,3.6,4.0,4.4,3.1,2.7,3.6,4.5,4.3,2.8,2.9,Cybersecurity Analyst
6.0,9.3,3.1,4.6,1.4,4.5,3.54,5.0,3.8,3.4,1.2,2.8,4.1,4.5,3.9,3.7,3.0,Software Developer
8.9,4.6,4.2,2.2,5.7,6.5,3.49,3.5,4.8,4.3,4.7,2.8,4.8,4.6,2.7,2.6,2.5,Civil/Mechanical Engineer
4.4,9.7,5.3,5.3,4.3,4.0,4.08,4.8,4.7,4.5,2.5,1.2,4.2,4.5,3.0,2.0,3.1,Software Developer
2.3,4.6,6.2,5.2,7.0,8.1,3.38,2.7,4.4,4.2,3.4,4.5,2.3,2.2,4.1,3.0,4.0,Banker/Financial Analyst
6.8,9.2,1.3,5.7,3.9,6.3,4.3,3.8,3.5,4.4,2.3,4.5,2.7,3.8,4.0,1.3,3.1,Software Developer
